planet_radius,planet_mass,orbital_period,semi_major_axis,equilibrium_temp,planet_density,star_temp,star_luminosity,star_metallicity,star_type,habitability_score,stellar_compatibility,orbital_stability,star_class_B,star_class_D,star_class_F,star_class_G,star_class_K,star_class_L,star_class_M,star_class_T,star_class_W,star_class_m,habitable
2.3,192.60498,14.65152,0.11522725,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.15917038274242876,0.5828141225337488,0.002846177105988903,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14.65162,0.115,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.15915119363395228,0.5451713395638629,0.0028461779160615453,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14.651,0.1134,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.15901621965440474,0.5451713395638629,0.002846172893618596,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14.65126,0.1138,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.15904994168168804,0.5451713395638629,0.0028461749998021906,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14.65171,0.1162,797.0,1.31,5317.89,-0.082525,0.3833,G0 V,0.1592525745832891,0.552221183800623,0.002846178645127318,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14.6516,0.1134,797.0,1.31,5172.0,-0.082525,0.35,G0 V,0.15901621965440474,0.5370716510903426,0.00284617775404698,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14.6,0.113,797.0,1.31,5612.5,-0.082525,-0.002,K0 IV-V,0.1589825119236884,0.5828141225337488,0.002845759817871372,0,0,0,0,1,0,0,0,0,0,0
2.3,192.60498,14.651552,0.118,797.0,1.31,5198.0,-0.082525,0.39,G8 V,0.1594048884165781,0.5397715472481828,0.0028461773652120985,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14.648,0.11,797.0,1.31,5200.0,-0.082525,0.23,G8 V,0.15873015873015872,0.5399792315680166,0.002846148591725677,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14.647,0.115,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.15915119363395228,0.5828141225337488,0.002846140491186926,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14.67,0.115,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.15915119363395228,0.5828141225337488,0.0028463268152449264,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,43.93,0.24,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.17045454545454547,0.5828141225337488,0.0031049150805725462,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,44.3936,0.247,797.0,1.31,5198.0,-0.082525,0.39,G8 V,0.17113519680547631,0.5397715472481828,0.0031093908578933753,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,44.3827,0.2432,797.0,1.31,5317.89,-0.082525,0.3833,G0 V,0.17076502732240434,0.552221183800623,0.003109285476869559,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,44.3446,0.24,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.17045454545454547,0.5451713395638629,0.0031089171827987346,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,44.3787,0.238,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.170261066969353,0.5451713395638629,0.003109246806725798,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,44.38,0.237,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.17016449234259787,0.5451713395638629,0.003109259374417014,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,44.3989,0.2373,797.0,1.31,5172.0,-0.082525,0.35,G0 V,0.17019345322516596,0.5370716510903426,0.0031094421007888348,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,44.4175,0.241376,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.17058791418745564,0.5828141225337488,0.003109621947711707,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,44.373,0.23735,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.1701982809973619,0.5451713395638629,0.0031091917034328583,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,5360.0,5.9,797.0,1.31,5612.5,-0.082525,0.27,G8 V,0.05084745762711864,0.5828141225337488,0.00020016012810248197,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,5370.0,5.84,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.05136986301369863,0.5451713395638629,0.00019976028765481422,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4517.4,5.257,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.057066768118698874,0.5828141225337488,0.0002407666008571291,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,5218.0,5.77,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.05199306759098787,0.5451713395638629,0.00020601565718994644,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4545.0,5.28,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.056818181818181816,0.5828141225337488,0.00023917723032767282,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4909.0,5.47,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.054844606946983544,0.5451713395638629,0.00022002200220022002,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4867.0,5.446,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.055086301872934264,0.5451713395638629,0.00022207417277370642,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4825.0,5.503,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.05451571869889151,0.5828141225337488,0.00022416498542927594,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4799.0,5.6,797.0,1.31,5198.0,-0.082525,0.39,G8 V,0.05357142857142857,0.5397715472481828,0.00022547914317925591,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,5574.2,5.957,797.0,1.31,5172.0,-0.082525,0.35,G0 V,0.05036091992613732,0.5370716510903426,0.00019193121185367165,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4820.0,5.54,797.0,1.31,5317.89,-0.082525,0.3833,G0 V,0.05415162454873646,0.552221183800623,0.0002244165170556553,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,2.79674,0.0377,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.15288182235132242,0.5451713395638629,0.002753279251953851,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,2.808,0.038,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.1529051987767584,0.5828141225337488,0.0027533646115553206,0,0,0,1,0,0,0,0,0,0,0
2.02311213,192.60498,0.73654625026,0.1008,797.0,1.31,5250.0,-0.082525,-0.002,G0 V,0.15796124684077503,0.5451713395638629,0.0027377499438669527,0,0,0,1,0,0,0,0,0,0,0
1.91,192.60498,0.736539,0.01544,797.0,6.4,5250.0,-0.19695,0.35,G0 V,0.1781670093118878,0.5451713395638629,0.002737749889524263,0,0,0,1,0,0,0,0,0,0,0
1.947,192.60498,0.7365474,0.1008,797.0,6.421,5612.5,-0.082525,-0.002,G0 V,0.173861246840775,0.5828141225337488,0.00273774995248457,0,0,0,1,0,0,0,0,0,0,0
1.875,192.60498,0.7365474,0.01544,797.0,6.66,5172.0,-0.082525,0.35,G0 V,0.1886670093118878,0.5370716510903426,0.00273774995248457,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,0.73654625,0.1008,797.0,1.31,5234.0,-0.082525,0.31,G0 V,0.15796124684077503,0.543509865005192,0.002737749943865004,0,0,0,1,0,0,0,0,0,0,0
