pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,star_F,star_G,star_K,target,habitability_rank
1.306,10.39990194,0.03362,569.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.2556804257076591,False,False,True,0,125
1.842,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,126
1.874,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,127
2.765,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,128
1.324,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,129
1.73,8.23984869,1.0,288.0,1.3275,5893.0,-0.0833349999999999,0.03,0.6397485166221794,0.4658480963079685,0.501397584382076,False,True,False,1,130
1.76156914,0.369311,1.0,288.0,1.3275,5113.0,-0.0833349999999999,-0.15,0.6394316178950055,0.4622885022311331,0.5013675000896874,False,False,True,1,131
1.88,7.10694385,1.0,288.0,1.3275,5880.0,-0.0833349999999999,0.03,0.6389661071919842,0.4663921204124212,0.5013931726775762,False,True,False,1,132
1.42,0.470269,1.0,288.0,1.3275,5377.0,-0.0833349999999999,0.04,0.6387152386026483,0.4627815325749097,0.501367877788305,False,True,False,1,133
1.69,1.104463509,1.0,288.0,1.3275,5054.0,-0.0833349999999999,-0.02,0.6381253187263011,0.4622274066527961,0.5013702551826428,False,False,True,1,134
1.1,0.764864926,0.0152,1315.5,1.3275,5231.0,-0.0833349999999999,0.0,0.63689868472865,0.4624501602395064,0.2532835316927316,False,True,False,0,135
0.9699999999999998,0.764017553,0.0154,1315.5,1.3275,5142.0,-0.0833349999999999,-0.06,0.6356443795219212,0.4623226808367403,0.2533089154510535,False,False,True,0,136
1.04,0.764863517,0.0152,1315.5,1.3275,5231.0,-0.0833349999999999,0.0,0.6353879095512699,0.4624501602395064,0.2532835316874504,False,True,False,0,137
1.09,5.47033694,1.0,288.0,1.3275,5958.0,-0.0833349999999999,0.03,0.6351650986280203,0.4643001824196088,0.501386848437813,False,True,False,1,138
1.44,2.936584681,1.0,288.0,1.3275,5306.0,-0.0833349999999999,-0.01,0.6350617555583281,0.4625948339328136,0.5013771698797046,False,True,False,1,139
3.770000000000001,4.43796303,0.05434,288.0,1.3275,5926.0,-0.0833349999999999,0.03,0.6336841446654298,0.4648934561783689,0.2583650950991406,False,True,False,0,140
1.18,0.968526023,1.0,288.0,1.3275,5791.0,-0.0833349999999999,-0.02,0.6333184473072605,0.497252037194668,0.5013697449004946,False,True,False,1,141
0.9699999999999998,7.69993485,1.0,288.0,1.3275,5770.0,-0.0833349999999999,0.03,0.6319593834332634,0.5170933070359379,0.5013954783954356,False,True,False,1,142
1.712,0.571,1.0,288.0,1.3275,5496.0,-0.0833349999999999,0.06,0.631544401679454,0.4633045359326792,0.5013682548456745,False,True,False,1,143
2.0,8.79617863,1.0,288.0,1.3275,6077.0,-0.0833349999999999,0.02,0.6302195125232154,0.463204418147049,0.5013997610610165,True,False,False,1,144
1.46,1.791110205,1.0,288.0,1.3275,5857.0,-0.0833349999999999,0.03,0.6282876327860872,0.4677877514803823,0.501372838538569,False,True,False,1,145
1.19,0.813166719,1.0,288.0,1.3275,5550.0,-0.0833349999999999,0.05,0.628062257869463,0.4637211575939194,0.5013691621779125,False,True,False,1,146
1.61,2.795894073,1.0,288.0,1.3275,5296.0,-0.0833349999999999,-0.02,0.6278657557729972,0.4625729481677529,0.5013766364196899,False,True,False,1,147
1.0,5.32786292,1.0,288.0,1.3275,5828.0,-0.0833349999999999,0.03,0.6266197170168795,0.4713416730490098,0.5013863005998966,False,True,False,1,148
1.56,6.91986734,1.0,288.0,1.3275,6089.0,-0.0833349999999999,0.03,0.6260971286336807,0.4631403155829464,0.5013924468510582,True,False,False,1,149
1.2,0.354884,1.0,288.0,1.3275,4114.0,-0.0833349999999999,0.006,0.6258250185316816,0.4618380517806826,0.5013674461332064,False,False,True,1,150
0.9699999999999998,0.935118057,1.0,288.0,1.3275,5909.0,-0.0833349999999999,0.0,0.6239449073105909,0.4653256302682611,0.5013696195518419,False,True,False,1,151
