pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum
"Kepler-52 b",2.51600000,,,,,4127.00,0.623000,0.660000,-0.99568
"Kepler-52 b",2.33000000,,7.87740709000,500.00,,3898.00,0.540000,0.560000,
"Kepler-52 b",2.33000000,,7.87740709000,500.00,,3898.00,0.540000,0.560000,
"Kepler-52 b",,6.27000000,7.87741600000,,3.350000,,0.621000,0.633000,
"Kepler-197 d",1.42000000,,15.67750191000,810.00,,6003.00,1.109000,0.902000,
"Kepler-197 d",,,15.67750191000,,,5963.52,1.209440,1.093000,0.22187
"Kepler-197 d",1.24400000,,15.67787000000,,,5963.52,1.209440,1.093000,0.22187
"Kepler-197 d",1.19100000,,15.67756112000,,,,,0.857000,
"Kepler-197 d",,,15.67700000000,,,,1.120000,0.920000,
"Kepler-197 d",1.19100000,,15.67756112000,,,5945.00,1.163000,0.857000,
"Kepler-197 d",,,15.67754660500,,,5963.52,1.209440,1.093000,0.22187
"Kepler-197 d",1.15000000,,15.67756112000,811.00,,6004.00,1.120000,0.922000,
"Kepler-197 d",1.36000000,,15.67757000000,822.00,,5877.00,1.180000,0.864000,
"Kepler-197 d",1.15000000,,15.67756112000,,,6180.00,1.170000,1.010000,
"Kepler-197 d",1.22000000,,15.67756300000,,,6004.00,1.120000,,
"Kepler-197 d",1.15000000,,15.67756112000,811.00,,6004.00,1.120000,0.922000,
"Kepler-197 d",,,15.67770919000,,,5963.52,1.209440,1.093000,0.22187
"Kepler-197 d",1.15000000,,15.67756112000,811.00,,6004.00,1.120000,0.922000,
"Kepler-197 d",1.50000000,,,,,5945.00,1.169000,,
"K2-183 d",17.40000000,,22.63459400000,,,,0.920000,,
"K2-183 d",2.54112738,,22.62949600000,,,5482.00,0.873283,0.942219,
"K2-183 d",2.86000000,,22.63196400000,615.00,,5519.00,0.970000,0.930000,
"K2-183 d",2.30000000,,22.62034400000,,,5482.00,0.870000,,
"K2-183 d",5.20000000,,22.63020000000,,,,0.984000,,
"K2-187 e",2.38000000,,13.60987800000,698.00,,5484.00,0.920000,0.980000,
"K2-187 e",2.50000000,,13.60851100000,,,,0.960000,,
"K2-187 e",2.25541631,,13.60834100000,,,5477.00,0.894913,0.966999,
"K2-187 e",1.90000000,,13.60662900000,,,5438.00,0.830000,,
"K2-187 e",2.69000000,,13.60496000000,,,,0.919000,,
"K2-187 c",1.80000000,,2.87204200000,1173.00,,5484.00,0.920000,0.980000,
"K2-187 c",1.80000000,,2.87134800000,,,,0.960000,,
"K2-187 c",1.40000000,,2.87151200000,,,5438.00,0.830000,,
"K2-187 c",1.90000000,,2.87162000000,,,,0.919000,,
"K2-187 c",1.70058746,,2.87178800000,,,5477.00,0.894913,0.966999,
"K2-270 b",1.38000000,,1.54306900000,1203.00,,4877.00,0.770000,0.850000,
"K2-270 b",1.30000000,,1.54345200000,,,,0.735000,,
"K2-270 b",1.50000000,,1.54304100000,,,,0.820000,,
"Kepler-184 d",2.49700000,,,,,5530.00,0.832000,,
"Kepler-184 d",2.49000000,,29.02235800000,,,5788.00,0.873000,,
"Kepler-184 d",2.80000000,,29.02235261000,,,5699.00,0.960000,0.970000,
"Kepler-184 d",2.53000000,,29.02235261000,563.00,,5783.00,0.860000,0.869000,
"Kepler-184 d",2.80000000,,29.02277000000,567.00,,5817.00,0.890000,0.970000,
"Kepler-184 d",2.41600000,,29.02235261000,,,5530.00,0.821000,0.872000,
"Kepler-184 d",2.53000000,,29.02235261000,563.00,,5783.00,0.860000,0.869000,
"Kepler-184 d",2.55000000,,29.02235217000,559.00,,5788.00,0.848000,0.877000,
"Kepler-184 d",,,29.02300000000,,,,0.860000,0.870000,
"Kepler-184 d",,,29.02235217000,,,5437.21,0.869668,0.950000,-0.22509
"Kepler-184 d",,,29.02231937000,,,5437.21,0.869668,0.950000,-0.22509
"Kepler-184 d",,,29.02252304570,,,5437.21,0.869668,0.950000,-0.22509
"Kepler-184 d",2.53000000,,29.02235261000,563.00,,5783.00,0.860000,0.869000,
"Kepler-257 d",5.34000000,,24.66461416000,567.00,,5188.00,0.973000,0.868000,
"Kepler-257 d",4.95000000,,24.66455100000,,,5180.00,1.037000,,
"Kepler-257 d",4.66400000,,24.66459711000,,,5118.00,0.801000,0.916000,
"Kepler-257 d",5.67000000,,24.66459711000,568.00,,5188.00,0.973000,0.868000,
"Kepler-257 d",5.67000000,,24.66459711000,568.00,,5188.00,0.973000,0.868000,
"Kepler-257 d",,,24.66454505000,,,4972.00,0.872590,0.820000,-0.37756
"Kepler-257 d",4.20000000,,24.66454000000,498.00,,5058.00,0.750000,0.740000,
"Kepler-257 d",5.67000000,,24.66459711000,568.00,,5188.00,0.973000,0.868000,
"Kepler-257 d",4.69000000,,24.66459711000,,,5209.00,0.810000,0.850000,
"Kepler-257 d",,,24.66439397840,,,4972.00,0.872590,0.820000,-0.37756
"Kepler-257 d",,,24.66461416000,,,4972.00,0.872590,0.820000,-0.37756
"K2-280 b",8.01000000,,19.89531000000,,,,1.367000,,
"K2-280 b",7.67000000,,19.89520200000,744.00,,5742.00,1.280000,1.110000,
"K2-280 b",5.55493874,,19.89464100000,,,5767.00,1.064140,,
"K2-280 b",7.46000000,49.00000000,19.89500000000,736.00,0.640000,5741.00,1.279000,1.170000,
"K2-280 b",8.50000000,,19.89526800000,,,,1.450000,,
"K2-280 b",7.50000000,37.10000000,19.89526000000,787.00,0.480000,5500.00,1.280000,1.030000,
"K2-381 c",,,16.03820000000,,,4710.00,0.620000,,
"K2-381 c",2.05816745,,16.03505400000,,,4661.00,0.645652,,
"K2-381 c",2.00000000,,16.03847400000,,,,0.700000,,
"K2-381 c",2.05000000,,16.03430000000,,,,0.616000,,
"K2-381 c",2.00000000,,16.03465600000,,,4473.00,0.675000,0.754000,
"Kepler-222 c",,,10.08879895030,,,5154.00,0.850048,0.870000,-0.33784
"Kepler-222 c",4.64000000,,10.08881000000,,,5433.00,0.869000,,
"Kepler-222 c",,,10.08880336000,,,5154.00,0.850048,0.870000,-0.33784
"Kepler-222 c",4.81000000,,10.08879697300,734.00,,5431.00,0.843000,0.945000,
"Kepler-222 c",4.75000000,,10.08879697300,,,5295.00,0.840000,0.880000,
"Kepler-222 c",4.81000000,,10.08879697300,734.00,,5431.00,0.843000,0.945000,
"Kepler-222 c",4.81000000,,10.08879697300,734.00,,5431.00,0.843000,0.945000,
"Kepler-222 c",4.57600000,,10.08879697300,,,5315.00,0.801000,0.933000,
"Kepler-222 c",4.71000000,,10.08881066000,734.00,,5431.00,0.843000,0.945000,
"Kepler-222 c",4.55500000,,,,,5315.00,0.816000,,
"Kepler-222 c",4.40000000,,10.08881300000,694.00,,5342.00,0.760000,0.857000,
"Kepler-222 c",,,10.08881066000,,,5154.00,0.850048,0.870000,-0.33784
"HATS-36 b",13.84311500,1022.14128000,4.17523870000,1356.00,2.120000,6149.00,1.155000,1.222000,0.21484
"HATS-36 b",12.92000000,,4.17518600000,1203.00,,5950.00,1.100000,1.100000,
"HATS-36 b",12.77000000,,4.17523500000,,,,1.087800,,
"HATS-36 b",13.40000000,,4.17518700000,,,,1.150000,,
"HATS-36 b",13.70940899,,4.17471430219,1185.55,,5859.00,1.088540,,
"Kepler-229 b",2.49000000,,6.25296489800,,,5014.00,0.760000,0.800000,
"Kepler-229 b",2.28800000,,6.25296489800,,,5002.00,0.706000,0.808000,
"Kepler-229 b",2.24500000,,,,,5002.00,0.719000,,
"Kepler-229 b",2.20000000,,6.25297200000,,,5120.00,0.728000,,
"Kepler-229 b",2.10000000,,6.25294800000,755.00,,5099.00,0.700000,0.794000,
"Kepler-229 b",2.65000000,,6.25296224900,823.00,,5031.00,0.848000,0.801000,
"Kepler-229 b",,,6.25298062000,,,4881.00,0.752766,0.800000,-0.53795
"Kepler-229 b",2.41000000,,6.25296489800,782.00,,5126.00,0.742000,0.827000,
"Kepler-229 b",,,6.25296224900,,,4881.00,0.752766,0.800000,-0.53795
"Kepler-229 b",2.41000000,,6.25296489800,782.00,,5126.00,0.742000,0.827000,
"Kepler-229 b",,,6.25301549420,,,4881.00,0.752766,0.800000,-0.53795
"Kepler-229 b",2.41000000,,6.25296489800,782.00,,5126.00,0.742000,0.827000,
"K2-222 b",2.35000000,8.70000000,15.38857000000,871.00,3.680000,5942.00,1.115000,0.989000,
"K2-222 b",2.10000000,,15.38679600000,,,,0.960000,,
"K2-222 b",2.22325951,,15.38882500000,,,5934.00,1.040375,0.950497,
"K2-222 b",2.39000000,,15.38706300000,801.00,,6058.00,1.090000,1.000000,
"K2-222 b",2.53826377,,15.38866065560,779.17,,6101.00,1.062300,,
"K2-222 b",2.41000000,5.70000000,15.38630000000,801.00,2.000000,5961.00,1.093000,0.920000,
"K2-214 b",2.43000000,,8.59680200000,1006.00,,5854.00,1.270000,1.050000,
"K2-214 b",2.21567504,,8.59653100000,,,5768.00,1.123168,1.022196,
"K2-214 b",2.50000000,,8.59672400000,,,,1.290000,,
"K2-214 b",2.60000000,,8.59627000000,,,,1.251000,,
"K2-214 b",2.51000000,,8.59656000000,1001.00,,5875.00,1.236000,1.030000,
"K2-220 b",2.62000000,,13.68275000000,,,,1.056000,,
